"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_26",101.5,27.4,16.1,1051.6,1172.9,327.1,244.1,234.1,172,156.2,101.3,323.5,737.2,1266.1,129.7,506.6,777.5,708.2,122.4,1156.2,413665.6,33014.9,39040.5,15135.9,4486.1,3350.6,2076.6,10804.5,643.7,5785.4,7680.5,541.7,48.5,77.9,445,106.8,96.6,155.1,8845.2,24113.1,1108.9,592.7,45867.4,5005.8,1678.3,2313.2,335.6,164.7,5539.7,0,57414.7,14,0,82732.2,12025.9,0,333.5,470343.5,0,1264916
"DOM_27",131.3,83.8,23.3,1936.1,462,1534.9,1310.1,139.7,528.8,534,169.7,309.1,469.9,2016.9,77.2,963.3,2052,1322,563.4,2671.2,55780.4,134681.6,64114.5,20611.6,6728.9,12036,3363.7,30056.2,6059.4,94761.7,23525.4,718.9,274.5,172.7,295,67,113.6,418.8,16035.6,4546,165.4,963.3,34629.4,6696.6,1382.4,12.5,795.4,566,1882.9,0,57689.1,0,0,122207.1,17157.7,0,188.8,164115.7,0,900112.9
"DOM_28",6689.4,843.8,1298.2,12524.6,4857.3,10511.7,7310.2,1877.5,2818.5,4928.8,1926.9,2994.9,2359.1,10836.6,1026.2,2663.3,21623.6,24508.1,3799.7,21674.6,12897.6,30218.3,224413.1,45250.5,7541.7,7554.5,3560.6,2656.1,1424.9,21822.8,471.6,1364.1,2854.1,3012.7,5747.9,277.7,131.9,26.9,64.1,7.1,1546.8,457.7,879.4,219.5,169.5,281.5,8990.2,27.9,133.2,0,2922.3,5.2,0.1,462987.1,64155.9,0,0,145753.6,0,1206900.9
"DOM_29",711.7,220.6,122.3,228.6,97.2,811.6,1004.9,117.1,110.3,54.1,9.5,63.4,72.5,185.9,10.7,59.4,3933.5,342.2,82.4,709.6,571.9,178.8,17982.6,305903,33,592.3,562.8,51.7,868.8,1681.9,4751.1,59604.9,32.2,50.1,910.1,981.7,323.7,108.4,603.7,1799.4,749.5,105,18367.6,8522,6001.7,2.5,277.7,688.4,4269.9,0,90991.9,0,0,324165.2,45051.2,0,227,54267.8,0,960226.9
"DOM_301",1.6,0,186.7,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,52.2,0,11018.6,21,234.7,0.1,41.6,167.3,1.6,15.7,2751.8,73,0.3,0,0,0,0,0,0,0.1,6.3,27.6,106,0,0,0.8,13.2,0,40.7,0,0,32359.2,4464,0,0,22671.1,0,74256.1
"DOM_302T309",126.5,9.4,5.9,24.7,4.5,18.5,12.2,2.1,3.8,2.2,1.2,1.9,27.9,15.1,1.5,4.5,14.8,15.6,0.8,15.8,23.8,31.2,832.4,1056.8,308,34721.3,1311,0.7,4.4,288.8,154.1,4801.6,4.9,3155.9,352.8,1866.6,4.3,62.6,15,78.6,108.3,3.2,206.3,518.1,193,0.2,29.8,14.7,396.7,0,12586.4,0,0,41670.2,5793,0,0,23281.2,0,134184.7
"DOM_31T33",572,68.2,52.5,816.2,349,743.2,450.6,149,911.4,1666.5,515.5,809.1,359.1,1831.2,376,530.6,2821.7,1666.1,787.9,1618.7,1900.7,1573.7,3023.7,3237.4,208.3,264.9,8058.9,3446.3,484,7178.5,1373.3,2104.8,64.2,472,880.7,269.9,273.7,552.7,478.2,632.9,6569.4,1178.2,5544.4,1359.4,2308.6,1227.5,362.8,466.5,901.3,0,28685.9,2.4,3673.5,37307,5642.4,0,1007.1,146983,0,296792.8
"DOM_35",12992.8,462.9,751.7,14690.6,8863.3,19144.5,7004.3,869.7,8684,11982.2,3223.2,6941.6,8186.6,64542.9,5627.8,15728.4,44248.2,53361,41732.6,29355.1,10385.6,10099.7,21336.9,9154.6,811.1,1049.1,4453.6,310112.8,7300.6,35012.6,15940.6,25338,1155.8,699.2,1772.3,263,3658.1,489.3,2600.5,1542,4987.5,5989.4,3628.8,848.3,3979.1,2165.4,2222.8,1745.6,2897,0,54741.1,7.6,0.3,0.1,10.6,0,0,1480.9,0,906273.3
"DOM_36T39",1885.1,76.2,149.8,322.5,117.7,566.5,454,34.5,1180.9,824.5,131.1,5634.5,137.3,3423.1,261.2,907.1,2819.2,18968,11195.3,3404.4,641.2,522.1,1554.1,456.2,54.1,95,260.9,3165.8,8462.9,2378.7,835.5,379.8,59.3,54.9,90.7,23.3,625.8,29.1,81.2,22.2,714.6,555.8,891.1,758.6,375.9,418.6,362.4,154.8,423.8,0,18430.4,27.3,55438.9,243.6,0,0,0,0.1,0,151081.9
"DOM_41T43",198.8,12.6,4.9,1530.9,353.6,754.2,689.6,63.2,2043.5,1375.4,340.3,947.6,762.4,2579.8,263.7,640.1,2858.4,1575.6,1067.8,2165.4,3533.8,1686.2,3103.5,1881.1,464.3,297.1,867.2,4882.3,1968.5,119973.7,5654.9,10108,15.3,498.9,1698.1,992.8,1767,1006.5,2198.6,184.2,10394.7,30559.8,4550.8,992,8301.3,2363,1528,1146.9,1084.3,0,0.2,0,0.1,2579629.3,0,0,0,0.1,0,2823560.1
