"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_27",805.3,2.6,0.9,19.3,111.5,16,8.9,147.6,762.7,55.1,292.3,346.1,52.9,678.5,62.3,649.5,113.7,1121.5,1026.8,1421,1476.2,4437.1,7447.1,3150.4,132.9,1417,884.9,34.9,296.4,15563.7,1044.2,128.1,14.3,17.8,201.7,13.3,497.9,47.3,1524.3,716,90.1,316.5,1851.9,1171.4,2438.2,422.3,713,132.2,571.5,0,52292.7,3.2,2.2,48344,4014.2,176.6,249.3,31507.7,-67264.6
"TTL_28",2374,82.8,1.3,708.2,3843.4,679.7,378.3,1979.2,2870.4,95.3,390,1265.1,153.1,2406.2,125.9,1237.6,234.7,658.6,566.4,2562.1,442.5,958.5,23177.5,16533.5,325.6,2454,2194.8,408.8,1496.6,19594.3,3168.1,426.4,31.5,72.8,1460.2,86.9,655.5,640.5,1104.2,1011,127.7,238.8,1239.8,1972.2,2462,1541.1,796.3,91.9,902.3,0,15298.1,31.7,6.6,251661.2,20675.6,66.2,28.6,106083.8,-106584.2
"TTL_29",580.7,14.8,11.7,158.2,406.6,142.5,136.3,257.6,2113.6,85,421.7,861,38.3,896.6,75,378.1,383.7,491.1,194.8,748.4,420.5,316.1,11533,100070.7,133.6,2204.8,720.3,35.6,707.2,1810.8,17388.8,1719.5,16.6,7.9,1603.1,860,454,593.3,240,146.1,151.5,147.6,1737.3,3633.4,3601.3,808.4,1250.2,65.6,503,0,219377.7,7.5,1,292611.9,24268,239.8,401.3,94866.7,-260451.6
"TTL_301",6,0.2,2.6,1.8,3.7,0.9,1.1,3.1,14,0.9,3.5,5,9.2,9.4,1.6,5.3,1.9,3.2,2.6,14.9,3.4,4,26.5,48.2,2689.8,2528.1,36.2,8.4,1.9,33.5,21.7,34.1,184.1,51.9,33.8,19.5,6.3,1.8,4.8,2.3,7.2,108.1,19.1,5.4,1382.9,9.2,7.6,1.6,12.3,0,5611.8,0.2,0.1,16860,1333,1.2,0.2,2241,-2847.3
"TTL_302T309",137.8,3.2,9.8,54.5,72.8,12.7,9,38.8,318.4,24.9,60.5,100.3,74.5,256.5,43.7,108,38.2,62.2,48.5,223.1,87.7,69,584.3,1048.7,564.5,55073.1,355.3,72.2,53.7,568.3,422.3,918,635,860,350.3,411.5,75,55.5,82.6,92.3,98.5,230.6,579.9,161.5,18913.4,95.9,161.8,19.3,159.4,0,31443.1,29.4,2.9,103606.1,7908.3,2.8,14.1,88096.9,-39232.9
"TTL_31T33",454.4,191.3,29.5,27.4,100,23.6,19.7,74.7,1537.1,306.7,998,822.3,377,1830.7,292.8,823.5,400.5,518.8,472.4,839.9,613.9,667.9,2644.1,2229.3,62.9,583,7094.8,144.4,812.7,11647.9,11136.1,668.6,31.3,92.4,561.4,133.2,2979.5,415.2,940.2,906.1,2158.2,3797.5,3141.8,3878.7,5551.8,1275.7,22160.5,1020,1613.1,0,138135.9,29.3,1155.4,55532.5,4436,1272.1,687.4,46937.1,-89073.3
"TTL_35",3529.7,85,19.3,837.2,3488.7,1270.7,963,144.1,10734.9,1625.4,1925,6855.7,7264.1,14220.1,1062.9,4512,3452.9,5610,4283,4383.7,1413.8,870.1,2173.2,3006.9,118.2,1132.1,1762.3,16428.2,515.3,3545.9,41940,1696.1,82.9,95.7,11266.6,540.7,22256.6,1111.5,2397.4,1430.2,4387,52656.5,10221.6,3243.1,7990.5,9573.5,12229.6,2790,2926.6,0,153928.8,29.2,1.7,455,14.6,62.8,42.2,2465.7,-3927.9
"TTL_36T39",258.2,8.3,0.9,53.8,767.5,21.8,53.8,151.4,1438.9,124.8,99.6,344.2,530.3,1799.4,203.8,234.3,185.8,296,145.1,343.3,135.7,87.2,222.5,229.7,11.5,109.6,227.8,2065.5,4818.5,713.4,4063.5,122.7,15.3,21.8,769.1,221.6,2924,120.3,155.1,150.4,1414.1,2614.1,1370.1,783,7562,1455.9,2745,405.8,679.9,0,37238.4,166.4,14133.4,446.2,3.2,16.8,2.8,105.2,-398.2
"TTL_41T43",2191.5,23.9,5.5,548,1022.1,386.3,822.9,1776,1439.5,121.6,213.3,996.7,6679,1463.7,247.5,511.2,378.1,615.3,301.3,751.4,234.8,153.4,554.5,555,33.4,247.4,349.6,7230.3,149.9,317.1,5998.3,2714.7,43.5,285.3,2180.7,658.3,2379.2,138.8,2164.4,175.1,4877.9,107028.8,1208.4,628.3,68040.1,6876.8,1532.7,569,3332.3,0,288.1,161.5,0.5,913356.3,9.6,192,0,4.5,-1417.6
"TTL_45T47",57493.4,1781.4,219.8,2415.1,9665.6,1803,1519.9,4421.3,160170.4,8591.7,10689,31171.7,24147.6,84054.7,25441,30953.1,12339.4,17013.8,10264.5,33672,10956.8,11568.1,41507.3,80370.1,1740.2,23602.4,24706.7,14465.7,5102.6,98294.5,108817.8,44802.7,2996.6,15112.8,8839.6,6528.4,33499.4,16570.8,13461.6,8817.5,16026.8,17120,30297.6,29604.4,83956.6,31038.7,67125.7,4615.2,8417.9,0,1097877.9,1261.4,1528.2,395762.2,3911.9,5787.5,7277.8,287615.2,-246079.8
