"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_58T60",0.0101,0.0063,0.003,0.0056,0.0105,0.0091,0.0079,0.0082,0.0131,0.0115,0.0121,0.0118,0.0086,0.0103,0.0081,0.012,0.0098,0.0128,0.011,0.0117,0.005,0.0085,0.0112,0.0119,0.0074,0.0099,0.011,0.0082,0.009,0.0095,0.0158,0.0091,0.0123,0.0083,0.0129,0.0068,0.0226,1.2133,0.1384,0.0208,0.0095,0.0057,0.0198,0.0166,0.015,0.0234,0.0129,0.0106,0.0159,0
"TTL_61",0.0093,0.0081,0.0032,0.0064,0.0095,0.0083,0.0105,0.0141,0.0115,0.0112,0.0117,0.0115,0.0079,0.0091,0.0066,0.0113,0.0107,0.0121,0.01,0.0117,0.0048,0.0082,0.0109,0.0109,0.0068,0.0082,0.0102,0.0091,0.0147,0.0117,0.0172,0.0167,0.0152,0.0113,0.0188,0.0094,0.0146,0.0108,1.1084,0.0187,0.0139,0.0089,0.0153,0.0185,0.0165,0.0132,0.01,0.0106,0.0145,0
"TTL_62T63",0.02,0.0145,0.0082,0.0136,0.0502,0.0349,0.0205,0.0212,0.0287,0.0317,0.037,0.0312,0.0361,0.0236,0.0175,0.0313,0.03,0.0412,0.035,0.0382,0.0154,0.0226,0.0376,0.0313,0.0211,0.0327,0.0295,0.0305,0.0355,0.0242,0.0371,0.026,0.0299,0.0218,0.0253,0.0186,0.0316,0.0343,0.0476,1.0731,0.0341,0.0128,0.0557,0.0655,0.0526,0.0174,0.029,0.0264,0.0439,0
"TTL_64T66",0.0616,0.0323,0.1587,0.057,0.1255,0.0703,0.1278,0.1688,0.0648,0.0588,0.0523,0.0481,0.0881,0.0491,0.0318,0.0561,0.064,0.082,0.0758,0.061,0.0262,0.0499,0.059,0.0661,0.0381,0.0449,0.0556,0.0753,0.059,0.0498,0.0794,0.1248,0.3111,0.0961,0.0801,0.0621,0.0636,0.035,0.0473,0.0417,1.3193,0.1138,0.0708,0.0885,0.0811,0.027,0.0927,0.0563,0.1287,0
"TTL_68",0.0572,0.0299,0.0141,0.0169,0.0259,0.0262,0.0274,0.0264,0.0518,0.0446,0.0432,0.0431,0.0229,0.0336,0.0346,0.044,0.034,0.0384,0.0342,0.0429,0.0302,0.0295,0.0359,0.0457,0.0401,0.0381,0.0358,0.0291,0.0404,0.0397,0.1009,0.0371,0.0461,0.0309,0.1076,0.0369,0.1167,0.0308,0.0456,0.0348,0.0579,1.0497,0.06,0.0415,0.0328,0.0413,0.0718,0.0897,0.1033,0
"TTL_69T75",0.0748,0.0464,0.0267,0.0902,0.1367,0.1094,0.1507,0.1519,0.1355,0.1432,0.1155,0.114,0.1169,0.1125,0.1218,0.1191,0.1162,0.1425,0.116,0.1406,0.133,0.0905,0.1529,0.1486,0.0962,0.1185,0.1096,0.0862,0.1232,0.1034,0.1352,0.0861,0.1251,0.0649,0.0773,0.066,0.1748,0.0866,0.1282,0.109,0.1029,0.0625,1.1224,0.1246,0.0794,0.039,0.0919,0.084,0.0921,0
"TTL_77T82",0.0445,0.0316,0.0139,0.0381,0.0465,0.0458,0.0535,0.0692,0.0553,0.0572,0.0525,0.0635,0.043,0.0506,0.0339,0.0537,0.0528,0.0763,0.0658,0.069,0.0308,0.0405,0.052,0.0607,0.0387,0.0504,0.0456,0.0696,0.0817,0.0476,0.0772,0.0808,0.1656,0.0957,0.0817,0.0537,0.064,0.0597,0.0868,0.1044,0.0445,0.0522,0.0695,1.0947,0.0451,0.0239,0.0652,0.0546,0.0544,0
"TTL_84",0.014,0.0237,0.0168,0.0114,0.0177,0.0203,0.0215,0.0187,0.0167,0.0174,0.0211,0.0181,0.0154,0.0164,0.0079,0.0172,0.0175,0.0237,0.0203,0.0162,0.0064,0.0114,0.0135,0.0158,0.0088,0.0104,0.0154,0.0229,0.0577,0.0113,0.0176,0.0449,0.0317,0.0152,0.0244,0.0119,0.0194,0.0097,0.0123,0.0108,0.0899,0.0212,0.0199,0.0331,1.019,0.0124,0.0261,0.033,0.0252,0
"TTL_85",0.0026,0.0017,0.0014,0.0015,0.002,0.0023,0.0024,0.0029,0.0035,0.0029,0.003,0.0038,0.002,0.0026,0.0017,0.0031,0.0026,0.0033,0.0026,0.0028,0.0012,0.002,0.0027,0.0031,0.0016,0.002,0.0024,0.0032,0.0035,0.002,0.0061,0.0023,0.0028,0.0067,0.0032,0.0019,0.003,0.0026,0.0029,0.0036,0.0038,0.0024,0.0053,0.0053,0.0068,1.0137,0.0031,0.0153,0.0161,0
"TTL_86T88",5e-04,7e-04,5e-04,4e-04,6e-04,6e-04,7e-04,7e-04,7e-04,6e-04,7e-04,6e-04,5e-04,6e-04,4e-04,6e-04,6e-04,8e-04,7e-04,6e-04,3e-04,4e-04,5e-04,6e-04,3e-04,4e-04,5e-04,7e-04,0.0014,4e-04,6e-04,0.0012,0.0011,6e-04,7e-04,4e-04,7e-04,4e-04,5e-04,4e-04,0.003,6e-04,0.001,0.0013,0.0222,0.0021,1.063,0.0027,0.0032,0
"TTL_90T93",0.0017,0.0011,5e-04,9e-04,0.0013,0.0013,0.0014,0.0017,0.0021,0.0018,0.002,0.0018,0.0012,0.0015,0.0012,0.002,0.0017,0.0022,0.0017,0.0019,9e-04,0.0012,0.0018,0.0019,0.0011,0.0013,0.0016,0.0014,0.0023,0.0015,0.0028,0.0017,0.0019,0.0019,0.0029,0.0013,0.0041,0.0253,0.0127,0.0024,0.002,0.0021,0.0043,0.0034,0.002,0.002,0.0022,1.0519,0.0055,0
"TTL_94T96",0.0022,0.0031,0.001,0.0012,0.0017,0.0016,0.002,0.0028,0.0027,0.0023,0.0025,0.0022,0.0015,0.002,0.0013,0.0023,0.0023,0.0027,0.0023,0.0022,9e-04,0.0015,0.0019,0.0023,0.0013,0.0015,0.002,0.0016,0.0034,0.002,0.0036,0.0025,0.0031,0.0025,0.0076,0.004,0.0037,0.0012,0.003,0.0014,0.0048,0.0015,0.0032,0.0031,0.0032,0.0018,0.0041,0.0038,1.0142,0
"TTL_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOTAL",2.2518,1.8213,1.4674,1.6906,1.9483,2.1247,1.9438,1.8642,2.5204,2.1874,2.3593,2.255,2.3753,2.2373,1.72,2.3507,2.1168,2.4933,2.5344,2.2635,1.4809,2.0147,2.1769,2.6526,1.8544,2.0515,1.9036,1.8525,1.8391,1.939,1.7905,1.9306,2.4429,1.9371,1.9337,1.7517,1.8461,1.6795,1.8603,1.5771,1.8081,1.5324,1.6158,1.7095,1.7111,1.443,1.6738,1.6457,1.7498,1
