"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_16",0.0026,0.0026,0.0017,0.0502,0.0042,0.0118,0.0102,0.0098,0.0039,0.0066,1.4512,0.0321,0.0056,0.0099,0.0046,0.0109,0.0193,0.0115,0.012,0.0245,0.009,0.0124,0.0166,0.01,0.013,0.0119,0.207,0.0151,0.0096,0.0464,0.0034,0.0055,0.0039,0.0062,0.0061,0.0091,0.003,0.0089,0.0039,0.0064,0.0051,0.0046,0.0095,0.0051,0.0044,0.0027,0.0038,0.0076,0.0068,0
"TTL_17T18",0.0125,0.0097,0.0088,0.0193,0.0101,0.0248,0.0234,0.023,0.0311,0.0261,0.0281,1.422,0.0113,0.0299,0.0375,0.0321,0.0466,0.0216,0.0224,0.0293,0.0431,0.0407,0.0337,0.0267,0.028,0.0286,0.0614,0.0198,0.0236,0.0312,0.0432,0.0184,0.0151,0.0227,0.0211,0.0671,0.0193,0.1666,0.0253,0.1224,0.055,0.0222,0.12,0.0575,0.0382,0.0262,0.0222,0.0202,0.0302,0
"TTL_19",0.0433,0.0412,0.0382,0.0466,0.0807,0.0955,0.093,0.1046,0.0379,0.0455,0.0551,0.061,1.1154,0.1952,0.0432,0.1026,0.0965,0.1284,0.0882,0.0834,0.0549,0.0712,0.0663,0.0547,0.0654,0.0599,0.0597,0.0937,0.056,0.0781,0.0241,0.1444,0.2634,0.3049,0.1712,0.0704,0.0278,0.0409,0.0221,0.0319,0.0222,0.0149,0.0744,0.0691,0.036,0.0189,0.0367,0.0352,0.0362,0
"TTL_20",0.1894,0.1537,0.0385,0.0959,0.0752,0.1596,0.171,0.2191,0.1259,0.2214,0.2169,0.2899,0.0863,1.6289,0.1622,0.631,0.2213,0.1028,0.1514,0.1707,0.1749,0.2146,0.1366,0.1281,0.1376,0.1455,0.2179,0.0675,0.156,0.1636,0.0362,0.0587,0.0501,0.0779,0.0934,0.0705,0.0733,0.1276,0.0486,0.0906,0.0378,0.0262,0.1544,0.0677,0.0519,0.0472,0.1753,0.1026,0.141,0
"TTL_21",0.023,0.0078,0.013,0.0025,0.0013,0.0032,0.0029,0.0036,0.0128,0.0074,0.0053,0.007,0.0017,0.0115,1.4419,0.0071,0.0042,0.0027,0.0028,0.0036,0.0039,0.0035,0.0035,0.0027,0.0028,0.0031,0.0047,0.002,0.0038,0.0042,0.0016,0.0022,0.0022,0.0036,0.0042,0.0044,0.0069,0.0035,0.0038,0.0029,0.0019,0.0011,0.008,0.0034,0.0027,0.0018,0.4354,0.0039,0.0068,0
"TTL_22",0.0238,0.0158,0.0091,0.0252,0.0169,0.0404,0.0353,0.0768,0.0322,0.043,0.0369,0.071,0.0171,0.0711,0.0265,1.2833,0.0516,0.028,0.0291,0.0498,0.0924,0.0975,0.0729,0.0891,0.054,0.099,0.0863,0.0214,0.0736,0.0482,0.0142,0.0349,0.0139,0.0223,0.0256,0.0315,0.019,0.0245,0.0227,0.0302,0.0108,0.0077,0.0388,0.0227,0.0129,0.0073,0.0228,0.026,0.0332,0
"TTL_23",0.0064,0.0058,0.0048,0.0199,0.015,0.0235,0.0435,0.072,0.0127,0.0091,0.0131,0.0144,0.0171,0.0233,0.0215,0.023,1.2681,0.0486,0.0472,0.0432,0.0492,0.0691,0.0364,0.0509,0.0365,0.0357,0.0276,0.0176,0.0267,0.2636,0.0072,0.016,0.0099,0.0165,0.0163,0.0248,0.0078,0.0202,0.0145,0.0152,0.0081,0.0137,0.0213,0.0107,0.0133,0.0072,0.0125,0.0208,0.0115,0
"TTL_24A",0.0096,0.0102,0.0077,0.0949,0.054,0.0636,0.0611,0.1351,0.012,0.0142,0.0263,0.027,0.0417,0.0337,0.0152,0.0366,0.0709,1.3814,0.0546,0.3718,0.0518,0.109,0.2255,0.1392,0.2219,0.1455,0.0627,0.0436,0.0419,0.2053,0.0114,0.0329,0.0299,0.0358,0.0374,0.0288,0.009,0.0165,0.0186,0.0202,0.011,0.0138,0.0429,0.022,0.0131,0.0067,0.0158,0.0161,0.0201,0
"TTL_24B",0.0091,0.0093,0.0063,0.0305,0.0193,0.0446,0.0396,0.0536,0.0112,0.0138,0.0213,0.0541,0.0177,0.0347,0.015,0.0297,0.0468,0.0689,1.5932,0.1846,0.1208,0.3855,0.1616,0.1355,0.1167,0.1721,0.1239,0.0395,0.074,0.0644,0.0171,0.025,0.0184,0.0301,0.0242,0.0275,0.0083,0.0198,0.0432,0.0406,0.0119,0.0089,0.0537,0.0259,0.0126,0.0069,0.015,0.0161,0.0259,0
"TTL_25",0.008,0.0088,0.0054,0.0515,0.0212,0.0597,0.0602,0.0657,0.0123,0.0123,0.042,0.0227,0.0186,0.0263,0.0158,0.0372,0.0651,0.0437,0.0338,1.1864,0.0561,0.0814,0.0938,0.0652,0.1077,0.081,0.0595,0.0256,0.0316,0.0841,0.0116,0.0178,0.0191,0.0204,0.0379,0.0203,0.0083,0.0132,0.0157,0.0198,0.0105,0.0109,0.0722,0.0293,0.0105,0.0066,0.0119,0.0127,0.0219,0
"TTL_26",0.0129,0.0131,0.0093,0.0392,0.0342,0.0455,0.0445,0.0623,0.0165,0.0195,0.0229,0.0281,0.0318,0.0361,0.0255,0.0335,0.0375,0.0397,0.0346,0.0438,1.8095,0.1406,0.1382,0.0981,0.2269,0.1403,0.0461,0.0755,0.0403,0.0462,0.0362,0.0299,0.0312,0.0401,0.0352,0.0399,0.0135,0.0285,0.1269,0.2891,0.0287,0.0163,0.1784,0.056,0.0244,0.023,0.0226,0.0246,0.0956,0
"TTL_27",0.01,0.01,0.0074,0.0321,0.0205,0.0437,0.0449,0.0387,0.013,0.0159,0.0181,0.0218,0.0199,0.0282,0.0182,0.0267,0.0325,0.0357,0.0333,0.039,0.1233,1.2219,0.1151,0.0737,0.1801,0.1985,0.0379,0.0848,0.0738,0.072,0.0343,0.0231,0.0235,0.0323,0.0233,0.029,0.0107,0.0235,0.1103,0.0644,0.0152,0.0119,0.0855,0.04,0.016,0.0074,0.0181,0.0242,0.0318,0
"TTL_28",0.0181,0.0225,0.02,0.0837,0.0597,0.1106,0.1192,0.1392,0.0183,0.0246,0.0378,0.0374,0.0503,0.0472,0.0226,0.0391,0.0795,0.0942,0.0586,0.1018,0.0542,0.0935,1.2933,0.1293,0.2064,0.1505,0.0478,0.0452,0.0372,0.0567,0.0104,0.032,0.0565,0.0813,0.0692,0.0342,0.012,0.0174,0.0163,0.0206,0.0109,0.0077,0.0318,0.019,0.0122,0.0071,0.0418,0.0147,0.0186,0
"TTL_29",0.0086,0.0117,0.0076,0.0176,0.0111,0.0273,0.0348,0.0262,0.0123,0.0121,0.0166,0.0166,0.0122,0.0179,0.0142,0.0171,0.0309,0.0229,0.0197,0.0239,0.0202,0.0216,0.0513,1.5454,0.0232,0.0319,0.0202,0.0135,0.0247,0.0246,0.0169,0.1517,0.0124,0.016,0.0293,0.0486,0.0109,0.0164,0.0138,0.0267,0.0118,0.0069,0.0555,0.0555,0.0278,0.0051,0.0119,0.0269,0.05,0
