"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_55T56",454.4,7.6,1.3,7.3,28.1,10.5,17.9,270.8,871,57.1,130,407.9,101.1,270.3,74.1,394.7,217.1,185.2,90,469.1,117.8,53.2,339,361.5,31.3,108.1,409.2,1796.5,430.2,824.7,11488.5,510.9,30.7,3833.6,696.2,589.3,10283.8,1525.3,2495.4,9320.3,11384.5,28252.5,17200.3,9333.3,4451.1,3617.5,21112,2246,1910.4,0,810890.1,6047.8,2508.6,4671.9,0,0,54031.1,918.4,0,1027886.8
"DOM_58T60",476.2,9.8,1.6,12.8,661.4,84.3,24.3,74.9,2320.2,106.3,217.5,573.7,158,477.2,397.2,372.1,271.9,206.1,161.5,895.9,449.3,175.8,909,539.4,79.9,1129.3,792.4,1477.5,395.8,2792.7,30407.1,607,144.5,314.5,1210,123.1,18535,104249.2,55688.5,17633.4,16000.1,4979.3,28737.5,15302.9,17699.5,17576.3,13394.1,2190.5,6495.2,0,140408.5,1715.3,5251.3,137862,44.3,0,859.9,63891.5,0,717564.7
"DOM_61",1595.1,17.6,2.4,36.6,354.6,33.6,154.2,620.4,2377.4,226.2,435.1,1048,91,614,283.5,494.9,892.4,314.3,213.3,1553.3,551.2,199.9,1347.3,1036.3,96.9,898.4,988.4,1923.8,1011.6,8075.7,23389.4,2537.4,255.4,960.7,1837,1734.2,7442.3,4163.2,57580.6,7138.4,15146.9,7170.8,14339.4,12246.8,39152.9,19711.4,23171.2,1463.5,3698.3,0,322283.7,48.1,2.7,10867.4,0.2,0,4175.1,17320.7,0,625325.3
"DOM_62T63",1195.5,16.4,5.9,14.3,4844.7,848.7,52.7,202.5,6073.8,407.1,1225.6,3053.9,739.9,1257.1,722.3,1592.9,1892.3,1307.3,904,5864.3,2026,774.6,6842.8,2858.1,532.8,9182.3,3673.6,10096.4,2033.5,12159.6,76583.8,2960,38.3,1450.5,2239.8,628.2,21293.9,13334,13499.9,31378.4,78527.6,8623.1,41422.2,54465.7,81276.6,13090.1,35397.5,3017.7,9656.7,0,15429.2,207.4,682.7,186304.4,1.4,0,128.8,30458.9,0,804497.8
"DOM_64T66",10354.4,303.9,378.1,1165.4,6671.6,510,1515.4,9090.8,12059.5,1446,1156.2,3357.8,3905.1,5869.1,2565.5,3021.4,2077.1,2768.6,2787,6408.7,3248.1,2384.5,6714.6,11001,1030.8,3009.6,5614.4,15391.4,2470.5,17194.1,136988.7,26065.4,3037.6,4646.6,8967.7,1430.9,37520.6,11349.7,17927.8,12642.9,757751.4,251772.2,74757.7,44922.8,45511.6,10934.3,46552.4,5519.6,28044.3,0,940678.9,1344.5,10.2,16722.4,1328.9,0,3810.2,178734.1,0,2814444.1
"DOM_68",7144.3,37.7,4.2,9,1198.2,21.6,159.4,635.7,6412.8,770.4,735.3,3634.8,28.9,1354.9,3142.1,2376.2,1054,334.9,419.7,5497.3,4850,739.6,2261.1,2683,286,1411.6,3782.3,7210.9,2201.9,15394.5,232869.4,6353.1,693.3,200.2,14620.9,2473.8,59799.5,8131.8,19542.4,15629.9,56375.8,179091.7,102735,34841.9,19883.5,43264.5,130114.9,22909.7,44030.1,0,2012633.7,4922,0,211573.2,0.2,0,11984.8,3582.1,0,3314049.8
"DOM_69T75",5345.9,45.5,87.3,1952.9,22046.9,1514.6,3955.3,6323,54157.1,2448.9,2486.8,9024.9,4265.8,20484.6,19574.4,6978.3,6053.5,3810.1,2595.2,14179.1,22216.8,4637.8,24926.4,23001.2,2114.5,11805.3,14627.3,23673.6,6287.2,69818.7,314477.9,12130.2,2298.4,4924.9,11240.5,4336.2,111822.5,27165.6,34682.3,57035,150645.1,70674.5,200835,80842.1,100853.3,27967.8,155211.5,15977.5,28235.7,0,70334.1,2372.8,2319,315225,133.3,0,1870.9,170184.4,0,2364234.2
"DOM_77T82",3882.6,59,6.4,636.3,2801.1,354.9,1195.2,4460,10609.3,2918.9,1054.6,6625.4,2017.7,5641.5,2497.9,2790.5,1944.3,3710.1,2910.7,12906.2,4927,945.5,5918.2,11308.4,3102.9,7319.8,6178.2,17385.4,5455.4,30214.4,133581,23164.3,8371.1,11393.2,22007.8,2936.3,28500.6,20328.4,44089.6,52023.2,48536.4,106555.3,102765.7,95889.6,49978.3,12994.4,77132,9202.7,12261.8,0,151264.8,692.7,2759.2,11644.4,0.8,0,3173.6,71017.2,0,1264042.6
"DOM_84",1317.3,406.6,2.2,25.2,188.3,19.9,60.1,73.4,2605.5,48.8,574.9,322.2,179.6,541.4,70.9,177.1,280.3,134.6,66,243,107.4,29.8,160.2,201.5,43.9,164.6,135.8,572,7117.2,1337.4,6065.6,26886.3,19.5,50.9,229,64.4,1280.8,15605.4,547.1,613.4,41742.1,10004.5,90689.4,2783.3,282037.4,1127.1,2565.7,18223.1,16633.5,0,97059.3,8068.2,2034821.5,15386.3,45.4,0,509.4,4487.1,0,2694753.1
"DOM_85",119.1,1.7,0.8,11.3,50,17.9,22.2,77.1,355.2,19.8,45.3,347.6,139.1,127.6,31,127.3,75.8,63.8,35.5,172.6,52.5,22.9,148,135,15.2,114.1,131.4,1272.3,113.6,344.5,22989.9,173.3,4.3,1018.2,317.7,53.8,1485.4,598.7,584.3,3070.4,9270.2,5537.1,16201.1,2990.6,12153.9,22100.3,8742.8,6237.5,7826.7,0,621309.1,81212.6,512320.2,20823.6,3.7,0,38052.8,2151.2,0,1401419.8
"DOM_86T88",109.6,4.4,0.4,2.3,20.9,4,3.9,8.8,284.5,12.9,20.2,44.8,21.1,88.3,43.2,43.4,19.3,16.5,9.5,51.5,22.1,12.6,51.9,71.4,4.3,37,36.2,43.4,10.7,220,375.9,42.6,7.8,25,28.6,9.6,166.8,72.8,61.6,97.8,1908.1,241.9,828.9,376.5,26098,2142.1,145820.1,290.7,817.6,0,1947880.3,139384.5,129560.7,1785.7,0,0,2828.8,567.4,0,2402738.5
"DOM_90T93",251.4,3.6,0.3,4.7,27.3,3.1,9.5,57.9,351.3,27.8,36.4,110.7,32.1,110.1,49,111.7,54.5,50.2,23.5,133.4,47.7,15.6,89.7,142.9,9.3,36.3,106.3,299.5,96,612.5,4573.2,189.3,35.1,112,279.9,30.6,3346.4,12873.9,6036.9,1608.4,2228.5,4156.1,6427.6,1940.3,1697.3,2045.9,2379.9,10629.6,1163.2,0,200133.5,35429.8,10603.1,5961.8,0.3,0,6591,2208,0,325585.9
