period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
6.140000000000000000e+02,2.620591464116941299e-03,5.741084061827845392e-03,3.469821214669155818e-03,1.829523234442651490e-03,1.640297980226504328e-03,3.469329238633436525e-03,4.919760357192937139e-07,-7.057335825612886637e+00,-3.448216774607648638e+00
6.150000000000000000e+02,2.620607521811166817e-03,5.741082362262043062e-03,3.469831261400076541e-03,1.829522787043334027e-03,1.640308474356742515e-03,3.469339247222044155e-03,4.920141780323863956e-07,-7.056766318727802911e+00,-3.448245357381762854e+00
6.160000000000000000e+02,2.620623579134850629e-03,5.741080662382351193e-03,3.469841308176867256e-03,1.829522339626203338e-03,1.640318968550663918e-03,3.469349255857188778e-03,4.920523196784779008e-07,-7.056196824984450444e+00,-3.448273945434776611e+00
6.170000000000000000e+02,2.620639636088023527e-03,5.741078962188818358e-03,3.469851354999537937e-03,1.829521892191265063e-03,1.640329462808272874e-03,3.469359264538883405e-03,4.920904606545324633e-07,-7.055627344381754540e+00,-3.448302538765879444e+00
6.180000000000000000e+02,2.620655692670717171e-03,5.741077261681486188e-03,3.469861401868106366e-03,1.829521444738526790e-03,1.640339957129579576e-03,3.469369273267141479e-03,4.921286009648868920e-07,-7.055057876918580106e+00,-3.448331137374349709e+00
6.190000000000000000e+02,2.620671748882961918e-03,5.741075560860398053e-03,3.469871448782578614e-03,1.829520997267994158e-03,1.640350451514584456e-03,3.469379282041976445e-03,4.921667406021686120e-07,-7.054488422593852448e+00,-3.448359741259476863e+00
6.200000000000000000e+02,2.620687804724788558e-03,5.741073859725599922e-03,3.469881495742975497e-03,1.829520549779675188e-03,1.640360945963300308e-03,3.469389290863402180e-03,4.922048795733165172e-07,-7.053918981406493316e+00,-3.448388350420483750e+00
6.210000000000000000e+02,2.620703860196227884e-03,5.741072158277128225e-03,3.469891542749308725e-03,1.829520102273574219e-03,1.640371440475734506e-03,3.469399299731431695e-03,4.922430178770295650e-07,-7.053349553355392487e+00,-3.448416964856748645e+00
6.220000000000000000e+02,2.620719915297311121e-03,5.741070456515035003e-03,3.469901589801588707e-03,1.829519654749700358e-03,1.640381935051888349e-03,3.469409308646078868e-03,4.922811555098383085e-07,-7.052780138439440627e+00,-3.448445584567416677e+00
6.230000000000000000e+02,2.620735970028069926e-03,5.741068754439360156e-03,3.469911636899830620e-03,1.829519207208059241e-03,1.640392429691771379e-03,3.469419317607355842e-03,4.923192924747785137e-07,-7.052210736657538170e+00,-3.448474209551788405e+00
6.240000000000000000e+02,2.620752024388533791e-03,5.741067052050146183e-03,3.469921684044049645e-03,1.829518759648656942e-03,1.640402924395392703e-03,3.469429326615277361e-03,4.923574287722838616e-07,-7.051641348008608645e+00,-3.448502839809175491e+00
6.250000000000000000e+02,2.620768078378734808e-03,5.741065349347438188e-03,3.469931731234257490e-03,1.829518312071501916e-03,1.640413419162755574e-03,3.469439335669858172e-03,4.923955643993185860e-07,-7.051071972491540052e+00,-3.448531475338811880e+00
6.260000000000000000e+02,2.620784131998703768e-03,5.741063646331278671e-03,3.469941778470470202e-03,1.829517864476599802e-03,1.640423913993870400e-03,3.469449344771110416e-03,4.924336993597858148e-07,-7.050502610105224832e+00,-3.448560116139964826e+00
6.270000000000000000e+02,2.620800185248470596e-03,5.741061943001711868e-03,3.469951825752697321e-03,1.829517416863955803e-03,1.640434408888741518e-03,3.469459353919045370e-03,4.924718336519508244e-07,-7.049933260848617600e+00,-3.448588762211912684e+00
6.280000000000000000e+02,2.620816238128068250e-03,5.741060239358782014e-03,3.469961873080956195e-03,1.829516969233579895e-03,1.640444903847376300e-03,3.469469363113682116e-03,4.925099672740788914e-07,-7.049363924720530861e+00,-3.448617413553911604e+00
6.290000000000000000e+02,2.620832290637525354e-03,5.741058535402531610e-03,3.469971920455259401e-03,1.829516521585476414e-03,1.640455398869782987e-03,3.469479372355029761e-03,4.925481002296394628e-07,-7.048794601719954755e+00,-3.448646070165228839e+00
6.300000000000000000e+02,2.620848342776874867e-03,5.741056831133005758e-03,3.469981967875618648e-03,1.829516073919652949e-03,1.640465893955965699e-03,3.469489381643103918e-03,4.925862325147294107e-07,-7.048225291845722218e+00,-3.448674732045120539e+00
6.310000000000000000e+02,2.620864394546146281e-03,5.741055126550246093e-03,3.469992015342049547e-03,1.829515626236115355e-03,1.640476389105934192e-03,3.469499390977915862e-03,4.926243641336855439e-07,-7.047655995096791415e+00,-3.448703399192876162e+00
6.320000000000000000e+02,2.620880445945370819e-03,5.741053421654295982e-03,3.470002062854563810e-03,1.829515178534870789e-03,1.640486884319693021e-03,3.469509400359480338e-03,4.926624950834720962e-07,-7.047086711472050347e+00,-3.448732071607774063e+00
6.330000000000000000e+02,2.620896496974580141e-03,5.741051716445200528e-03,3.470012110413177482e-03,1.829514730815925971e-03,1.640497379597251511e-03,3.469519409787812092e-03,4.927006253653901102e-07,-7.046517440970379020e+00,-3.448760749289059291e+00
6.340000000000000000e+02,2.620912547633804171e-03,5.741050010923002232e-03,3.470022158017899670e-03,1.829514283079288059e-03,1.640507874938611612e-03,3.469529419262923700e-03,4.927387549759701391e-07,-7.045948183590722280e+00,-3.448789432236010200e+00
6.350000000000000000e+02,2.620928597923073700e-03,5.741048305087745329e-03,3.470032205668746421e-03,1.829513835324962905e-03,1.640518370343783516e-03,3.469539428784826872e-03,4.927768839195489914e-07,-7.045378939331969903e+00,-3.448818120447882940e+00
6.360000000000000000e+02,2.620944647842421253e-03,5.741046598939473188e-03,3.470042253365733347e-03,1.829513387552958318e-03,1.640528865812775029e-03,3.469549438353539822e-03,4.928150121935245820e-07,-7.044809708192978803e+00,-3.448846813923944765e+00
6.370000000000000000e+02,2.620960697391876322e-03,5.741044892478228308e-03,3.470052301108870856e-03,1.829512939763279500e-03,1.640539361345591356e-03,3.469559447969069923e-03,4.928531398009326769e-07,-7.044240490172704483e+00,-3.448875512663496234e+00
6.380000000000000000e+02,2.620976746571470131e-03,5.741043185704055793e-03,3.470062348898176729e-03,1.829512491955932740e-03,1.640549856942243988e-03,3.469569457631432787e-03,4.928912667439416806e-07,-7.043671285270036719e+00,-3.448904216665760192e+00
6.390000000000000000e+02,2.620992795381233472e-03,5.741041478616997276e-03,3.470072396733657038e-03,1.829512044130926496e-03,1.640560352602730542e-03,3.469579467340644027e-03,4.929293930130106138e-07,-7.043102093483888382e+00,-3.448932925930048299e+00
6.400000000000000000e+02,2.621008843821196702e-03,5.741039771217096126e-03,3.470082444615331732e-03,1.829511596288267055e-03,1.640570848327064677e-03,3.469589477096716654e-03,4.929675186150783706e-07,-7.042532914813170564e+00,-3.448961640455616706e+00
6.410000000000000000e+02,2.621024891891391914e-03,5.741038063504397444e-03,3.470092492543209485e-03,1.829511148427960055e-03,1.640581344115249430e-03,3.469599486899661075e-03,4.930056435484102273e-07,-7.041963749256763272e+00,-3.448990360241732667e+00
6.420000000000000000e+02,2.621040939591848598e-03,5.741036355478942865e-03,3.470102540517311547e-03,1.829510700550013519e-03,1.640591839967298028e-03,3.469609496749495071e-03,4.930437678164756310e-07,-7.041394596813610463e+00,-3.449019085287674535e+00
6.430000000000000000e+02,2.621056986922599714e-03,5.741034647140779226e-03,3.470112588537642255e-03,1.829510252654433520e-03,1.640602335883208735e-03,3.469619506646230353e-03,4.930818914119020069e-07,-7.040825457482535299e+00,-3.449047815592665156e+00
6.440000000000000000e+02,2.621073033883674318e-03,5.741032938489946426e-03,3.470122636604221558e-03,1.829509804741226127e-03,1.640612831862995431e-03,3.469629516589878629e-03,4.931200143429292915e-07,-7.040256331262517264e+00,-3.449076551156016190e+00
6.450000000000000000e+02,2.621089080475104069e-03,5.741031229526490434e-03,3.470132684717059431e-03,1.829509356810399149e-03,1.640623327906660283e-03,3.469639526580456379e-03,4.931581366030522717e-07,-7.039687218152435477e+00,-3.449105291976983789e+00
6.460000000000000000e+02,2.621105126696918891e-03,5.741029520250451150e-03,3.470142732876170619e-03,1.829508908861957788e-03,1.640633824014212832e-03,3.469649536617973144e-03,4.931962581974751181e-07,-7.039118118151222347e+00,-3.449134038054868512e+00
6.470000000000000000e+02,2.621121172549150009e-03,5.741027810661876278e-03,3.470152781081565965e-03,1.829508460895909201e-03,1.640644320185656764e-03,3.469659546702445405e-03,4.932343791205599792e-07,-7.038549031257779198e+00,-3.449162789388893202e+00
6.480000000000000000e+02,2.621137218031829516e-03,5.741026100760806584e-03,3.470162829333265850e-03,1.829508012912261410e-03,1.640654816421004440e-03,3.469669556833887038e-03,4.932724993788120682e-07,-7.037979957470962944e+00,-3.449191545978347317e+00
6.490000000000000000e+02,2.621153263144987769e-03,5.741024390547288039e-03,3.470172877631276347e-03,1.829507564911020271e-03,1.640665312720256076e-03,3.469679567012311054e-03,4.933106189652924911e-07,-7.037410896789686454e+00,-3.449220307822475906e+00
6.500000000000000000e+02,2.621169307888654258e-03,5.741022680021358807e-03,3.470182925975614802e-03,1.829507116892191204e-03,1.640675809083423599e-03,3.469689577237728730e-03,4.933487378860727801e-07,-7.036841849212915889e+00,-3.449249074920635039e+00
6.510000000000000000e+02,2.621185352262860209e-03,5.741020969183066591e-03,3.470192974366291191e-03,1.829506668855782232e-03,1.640686305510508959e-03,3.469699587510155676e-03,4.933868561355150839e-07,-7.036272814739541914e+00,-3.449277847272014252e+00
6.520000000000000000e+02,2.621201396267638147e-03,5.741019258032453894e-03,3.470203022803322861e-03,1.829506220801799862e-03,1.640696802001523000e-03,3.469709597829605773e-03,4.934249737170888495e-07,-7.035703793368409009e+00,-3.449306624875903005e+00
6.530000000000000000e+02,2.621217439903017997e-03,5.741017546569566685e-03,3.470213071286723256e-03,1.829505772730251247e-03,1.640707298556472009e-03,3.469719608196092028e-03,4.934630906312277576e-07,-7.035134785098462018e+00,-3.449335407731524139e+00
6.540000000000000000e+02,2.621233483169029682e-03,5.741015834794442260e-03,3.470223119816504519e-03,1.829505324641141160e-03,1.640717795175363359e-03,3.469729618609624852e-03,4.935012068796665319e-07,-7.034565789928626245e+00,-3.449364195838255931e+00
6.550000000000000000e+02,2.621249526065704862e-03,5.741014122707128325e-03,3.470233168392678792e-03,1.829504876534477839e-03,1.640728291858200953e-03,3.469739629070221158e-03,4.935393224576346827e-07,-7.033996807857789690e+00,-3.449392989195299020e+00
6.560000000000000000e+02,2.621265568593074760e-03,5.741012410307668248e-03,3.470243217015262557e-03,1.829504428410267790e-03,1.640738788604994766e-03,3.469749639577893521e-03,4.935774373690353378e-07,-7.033427838884842132e+00,-3.449421787801920658e+00
6.570000000000000000e+02,2.621281610751168435e-03,5.741010697596102795e-03,3.470253265684266220e-03,1.829503980268517085e-03,1.640749285415749135e-03,3.469759650132654520e-03,4.936155516117000930e-07,-7.032858883008763939e+00,-3.449450591657432508e+00
6.580000000000000000e+02,2.621297652540019278e-03,5.741008984572478803e-03,3.470263314399704094e-03,1.829503532109233530e-03,1.640759782290470564e-03,3.469769660734520200e-03,4.936536651838942247e-07,-7.032289940228341862e+00,-3.449479400761046310e+00
6.590000000000000000e+02,2.621313693959656781e-03,5.741007271236838773e-03,3.470273363161590924e-03,1.829503083932421895e-03,1.640770279229169029e-03,3.469779671383500970e-03,4.936917780899545416e-07,-7.031721010542568706e+00,-3.449508215112051523e+00
6.600000000000000000e+02,2.621329735010111735e-03,5.741005557589224338e-03,3.470283411969938853e-03,1.829502635738091071e-03,1.640780776231847782e-03,3.469789682079612442e-03,4.937298903264115968e-07,-7.031152093950310267e+00,-3.449537034709748706e+00
6.610000000000000000e+02,2.621345775691414498e-03,5.741003843629678000e-03,3.470293460824761325e-03,1.829502187526245395e-03,1.640791273298515930e-03,3.469799692822865024e-03,4.937680018963011563e-07,-7.030583190450522935e+00,-3.449565859553416214e+00
6.620000000000000000e+02,2.621361816003597595e-03,5.741002129358248329e-03,3.470303509726072218e-03,1.829501739296892889e-03,1.640801770429179329e-03,3.469809703613275197e-03,4.938061127970211350e-07,-7.030014300042042308e+00,-3.449594689642243583e+00
6.630000000000000000e+02,2.621377855946689650e-03,5.741000414774973491e-03,3.470313558673887577e-03,1.829501291050039408e-03,1.640812267623848169e-03,3.469819714450854235e-03,4.938442230333420224e-07,-7.029445422723856751e+00,-3.449623524975586886e+00
6.640000000000000000e+02,2.621393895520722755e-03,5.740998699879896854e-03,3.470323607668215644e-03,1.829500842785693627e-03,1.640822764882522017e-03,3.469829725335619054e-03,4.938823325965902011e-07,-7.028876558494811633e+00,-3.449652365552713373e+00
6.650000000000000000e+02,2.621409934725727267e-03,5.740996984673064386e-03,3.470333656709072030e-03,1.829500394503860532e-03,1.640833262205211498e-03,3.469839736267580493e-03,4.939204414915361607e-07,-7.028307707353853573e+00,-3.449681211372856993e+00
