period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
3.200000000000000000e+02,2.616037934053604304e-03,5.741987791943414104e-03,3.466398668373079847e-03,1.829574175839916673e-03,1.636824492533163174e-03,3.466247947530694089e-03,1.507208423857583912e-07,-7.218833213020181105e+00,-3.432998578736357054e+00
3.210000000000000000e+02,2.616054092308711491e-03,5.741986190418760759e-03,3.466408663920844766e-03,1.829573724042258143e-03,1.636834939878586623e-03,3.466257948791446816e-03,1.507151293979498707e-07,-7.218260139616861082e+00,-3.433025512690091041e+00
3.220000000000000000e+02,2.616070250184089879e-03,5.741984588566969791e-03,3.466418659511059670e-03,1.829573272225008731e-03,1.636845387286050939e-03,3.466267950094522460e-03,1.507094165372098449e-07,-7.217687079681112117e+00,-3.433052452145513023e+00
3.230000000000000000e+02,2.616086407679771558e-03,5.741982986388088905e-03,3.466428655143740170e-03,1.829572820388174724e-03,1.636855834755565446e-03,3.466277951439937499e-03,1.507037038026709519e-07,-7.217114033211791124e+00,-3.433079397101834740e+00
3.240000000000000000e+02,2.616102564795787320e-03,5.741981383882163205e-03,3.466438650818902747e-03,1.829572368531765230e-03,1.636866282287137517e-03,3.466287952827708414e-03,1.506979911943331918e-07,-7.216541000207820744e+00,-3.433106347558301241e+00
3.250000000000000000e+02,2.616118721532173161e-03,5.741979781049241262e-03,3.466448646536558677e-03,1.829571916655790224e-03,1.636876729880768454e-03,3.466297954257854287e-03,1.506922787043903089e-07,-7.215967980667914006e+00,-3.433133303514090962e+00
3.260000000000000000e+02,2.616134877888959438e-03,5.741978177889369046e-03,3.466458642296723139e-03,1.829571464760252307e-03,1.636887177536470832e-03,3.466307955730382490e-03,1.506865663406485589e-07,-7.215394974590994437e+00,-3.433160264968426745e+00
3.270000000000000000e+02,2.616151033866178678e-03,5.741976574402591661e-03,3.466468638099410443e-03,1.829571012845160370e-03,1.636897625254250073e-03,3.466317957245310805e-03,1.506808540996384949e-07,-7.214821981975916287e+00,-3.433187231920553639e+00
3.280000000000000000e+02,2.616167189463862973e-03,5.741974970588955944e-03,3.466478633944639672e-03,1.829570560910524606e-03,1.636908073034115067e-03,3.466327958802658746e-03,1.506751419809264358e-07,-7.214249002821537360e+00,-3.433214204369683387e+00
3.290000000000000000e+02,2.616183344682046583e-03,5.741973366448510467e-03,3.466488629832419500e-03,1.829570108956350433e-03,1.636918520876069066e-03,3.466337960402437156e-03,1.506694299823439775e-07,-7.213676037126637297e+00,-3.433241182315005524e+00
3.300000000000000000e+02,2.616199499520760301e-03,5.741971761981299466e-03,3.466498625762766406e-03,1.829569656982645010e-03,1.636928968780121396e-03,3.466347962044663382e-03,1.506637181030237582e-07,-7.213103084890115646e+00,-3.433268165755765100e+00
3.310000000000000000e+02,2.616215653980038386e-03,5.741970157187370645e-03,3.466508621735698171e-03,1.829569204989416791e-03,1.636939416746281380e-03,3.466357963729350868e-03,1.506580063473025866e-07,-7.212530146110784912e+00,-3.433295154691173856e+00
3.320000000000000000e+02,2.616231808059911196e-03,5.741968552066769108e-03,3.466518617751225204e-03,1.829568752976672066e-03,1.636949864774553138e-03,3.466367965456514794e-03,1.506522947104099730e-07,-7.211957220787546419e+00,-3.433322149120454636e+00
3.330000000000000000e+02,2.616247961760411259e-03,5.741966946619541691e-03,3.466528613809362683e-03,1.829568300944418423e-03,1.636960312864944259e-03,3.466377967226169036e-03,1.506465831936469602e-07,-7.211384308919255304e+00,-3.433349149042841386e+00
3.340000000000000000e+02,2.616264115081572399e-03,5.741965340845733498e-03,3.466538609910126221e-03,1.829567848892664538e-03,1.636970761017461683e-03,3.466387969038331376e-03,1.506408717948451437e-07,-7.210811410504702756e+00,-3.433376154457556950e+00
3.350000000000000000e+02,2.616280268023424976e-03,5.741963734745390499e-03,3.466548606053529262e-03,1.829567396821416263e-03,1.636981209232112999e-03,3.466397970893013956e-03,1.506351605153055662e-07,-7.210238525542822074e+00,-3.433403165363835274e+00
3.360000000000000000e+02,2.616296420586002383e-03,5.741962128318562134e-03,3.466558602239588286e-03,1.829566944730680756e-03,1.636991657508907530e-03,3.466407972790233258e-03,1.506294493550282276e-07,-7.209665654032438198e+00,-3.433430181760843691e+00
3.370000000000000000e+02,2.616312572769338013e-03,5.741960521565291770e-03,3.466568598468312400e-03,1.829566492620466039e-03,1.637002105847846362e-03,3.466417974730001857e-03,1.506237383105436811e-07,-7.209092795972338763e+00,-3.433457203647860556e+00
3.380000000000000000e+02,2.616328724573461356e-03,5.741958914485623643e-03,3.466578594739722421e-03,1.829566040490778400e-03,1.637012554248944022e-03,3.466427976712335365e-03,1.506180273870560971e-07,-7.208519951361491707e+00,-3.433484231024130917e+00
3.390000000000000000e+02,2.616344875998408408e-03,5.741957307079607192e-03,3.466588591053830059e-03,1.829565588341627814e-03,1.637023002712202245e-03,3.466437978737252432e-03,1.506123165776265815e-07,-7.207947120198632263e+00,-3.433511263888833209e+00
3.400000000000000000e+02,2.616361027044206925e-03,5.741955699347284052e-03,3.466598587410650925e-03,1.829565136173018185e-03,1.637033451237632740e-03,3.466447980804761297e-03,1.506066058896277093e-07,-7.207374302482760342e+00,-3.433538302241256890e+00
3.410000000000000000e+02,2.616377177710892468e-03,5.741954091288705396e-03,3.466608583810195862e-03,1.829564683984957318e-03,1.637043899825238544e-03,3.466457982914879742e-03,1.506008953161205866e-07,-7.206801498212622725e+00,-3.433565346080547087e+00
3.420000000000000000e+02,2.616393327998495829e-03,5.741952482903912858e-03,3.466618580252484386e-03,1.829564231777454971e-03,1.637054348475029415e-03,3.466467985067624678e-03,1.505951848597072984e-07,-7.206228707387118959e+00,-3.433592395405993258e+00
3.430000000000000000e+02,2.616409477907049533e-03,5.741950874192955009e-03,3.466628576737525169e-03,1.829563779550515048e-03,1.637064797187010121e-03,3.466477987263004781e-03,1.505894745203878449e-07,-7.205655930005105958e+00,-3.433619450216807145e+00
3.440000000000000000e+02,2.616425627436584373e-03,5.741949265155872617e-03,3.466638573265338162e-03,1.829563327304147089e-03,1.637075245961191073e-03,3.466487989501040000e-03,1.505837642981622260e-07,-7.205083166065485045e+00,-3.433646510512267103e+00
3.450000000000000000e+02,2.616441776587134609e-03,5.741947655792715988e-03,3.466648569835933773e-03,1.829562875038356299e-03,1.637085694797577474e-03,3.466497991781741610e-03,1.505780541921630800e-07,-7.204510415567044745e+00,-3.433673576291551566e+00
3.460000000000000000e+02,2.616457925358730598e-03,5.741946046103530224e-03,3.466658566449327614e-03,1.829562422753151351e-03,1.637096143696176263e-03,3.466507994105125657e-03,1.505723442019567260e-07,-7.203937678508709475e+00,-3.433700647553894481e+00
3.470000000000000000e+02,2.616474073751405734e-03,5.741944436088358694e-03,3.466668563105534864e-03,1.829561970448538967e-03,1.637106592656995896e-03,3.466517996471206887e-03,1.505666343279768449e-07,-7.203364954889290850e+00,-3.433727724298574202e+00
3.480000000000000000e+02,2.616490221765190374e-03,5.741942825747248236e-03,3.466678559804568099e-03,1.829561518124526521e-03,1.637117041680041579e-03,3.466527998879999611e-03,1.505609245684887132e-07,-7.202792244707712399e+00,-3.433754806524791370e+00
3.490000000000000000e+02,2.616506369400118780e-03,5.741941215080244819e-03,3.466688556546440331e-03,1.829561065781119215e-03,1.637127490765321117e-03,3.466538001331515972e-03,1.505552149243596927e-07,-7.202219547962751989e+00,-3.433781894231768828e+00
3.500000000000000000e+02,2.616522516656221743e-03,5.741939604087395281e-03,3.466698553331171509e-03,1.829560613418327241e-03,1.637137939912844268e-03,3.466548003825773751e-03,1.505495053977581876e-07,-7.201646864653332258e+00,-3.433808987418729419e+00
