"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_85",60.7,3.7,4.2,80.4,7.3,32.5,11.7,1.3,83.6,50.5,11.5,34.9,28.1,83.8,35.4,29.3,87.7,31.3,23.3,72.6,94.8,60.5,148,78.7,4,13.4,32,36.8,73.2,430.7,295.9,162.3,9.5,18.6,19.1,10.8,33.8,38.5,71.8,46.7,1405.1,91.9,307.9,42.7,1139.1,1288.5,246.2,29.5,38.7,0,30252.8,2087.1,318365.2,364.9,1.6,23987.5,692.6,0.1,-24954.1
"TTL_86T88",67.9,2.1,1,73.6,6.5,37.8,33.7,0.4,38.1,66.6,19.3,44.5,133.7,84,28.7,18.4,146.8,136.4,52.3,152.9,235.9,160.8,362.4,114.8,3.3,32.7,16.7,132.3,20.6,374.3,214.9,146.4,13.5,3,21.7,0.9,11.1,11.7,5.6,13.2,165.9,3.4,44.2,8.5,777.2,62.5,972.3,10,30.6,0,61807.2,3774.4,334274.1,120.9,10.5,1491.6,726,0.1,-2185.7
"TTL_90T93",17.3,1.6,1.4,39.6,11.1,34.1,16.8,0.8,104.8,59.4,15,46.9,7.8,84.9,35.7,43.2,110.8,42.4,24.5,87,89.8,73.4,180.2,53.5,3.1,8.9,32.1,149.1,38,336.5,280,63.7,17.2,6.7,49.6,21.3,78.2,70.3,82.8,32.8,1699.1,194.7,568.2,206,731.5,29.4,35.6,496,88,0,4415.6,2694.1,46174.4,28.3,4.5,3351.3,1757.4,929.5,-4559.6
"TTL_94T96",587.2,67.8,84,1229.3,242.4,136.3,303.5,29.2,1028.2,457.4,127,618.6,301.8,1200.2,251.8,451.4,1228.9,1186.2,327.5,1195.8,1534.1,1551.2,2149.5,2887.9,81.1,143.2,245.1,804,1087.5,6571.7,6720.4,4195.9,207.1,70.9,2494.1,710.5,567.2,683.8,194.7,101.1,743.6,646.1,3217.1,940.2,3803.6,2215.4,2258.5,901,2359.4,0,60447.3,23197.1,12174,1264.5,2.4,1832.5,933.4,0.3,-2139.3
"TTL_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXS_IMP_FNL",57.9,9.8,11.3,35.3,43.3,53.9,27,7.4,-133.4,281.4,40.1,85,2190.9,841.3,27,188.1,180.9,264.6,139,103.8,1512.9,348.5,471.2,644.9,27.4,74.5,94.3,583.9,29.4,432.3,141.4,281.5,62.8,79.3,63.1,18,25.3,13.6,61.1,127.1,121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6254.6,0,0,-15922.9
"TXS_INT_FNL",7197.7,804.4,1668.2,2714.7,3321,4388.6,3130.8,606.8,-11470.4,21848.7,1713.6,4646.4,1365.6,9326.3,1031.5,12138,17929.3,22622.5,7568.1,7389.1,13689.4,13718.5,19509.4,23790.9,1124,2043.3,6222.4,-5135.9,2909.7,49488.1,12149.3,37944.9,1145.3,1226.7,7594.4,1178.3,7741.2,1395.9,2558.5,4844.7,9457.4,3556.8,22837.1,9816.3,9530.4,2762.4,9695.5,1453.3,3628.2,0,239489.4,258.5,7812.8,160703.4,11731.9,0,3047.5,30920.3,0
"TTL_INT_FNL",596716.7,35630.7,67102.2,157840.9,67730.8,117719.5,58776.1,13120.8,1112071.3,891590.9,162434.5,255328.6,389390.3,1015547.5,229541.4,366373.9,630933.1,761470.9,468768.4,435453.5,924799.8,659033.7,857695.3,690589.7,41265.8,98410.7,203891.3,605120.5,80931.7,1969907,449894.4,401202.7,90003.8,62504.8,117578.2,28232.8,224984.8,35580.6,99862,151627.7,364350.2,192541.7,533796.5,160972.4,187983.1,77051.4,246573.7,33746.2,87989.8,0,3263373.5,34297.1,1520293.8,4247054.1,174769,99274.8,38081.2,2016271.6,-1822120.5
"VALU",734973.9,57954.6,89810.9,148062.8,133409.7,65979.3,40152.4,8596.1,345455.5,249574.5,44526.7,85415,107727.9,210764.3,73383.2,85723.8,184896.5,152174.6,106587.4,107935.8,223002,157740.9,237462.8,180733.2,13114.2,23350.3,65422.5,217244.1,56162,592229.3,847657.8,258522.7,53434.3,21780.1,48818.8,21660.6,154042.8,27831.7,121281.2,80102.8,544659.2,506896.8,223487.1,150010.7,321364.6,280749.9,158478,27540.6,70803.5,0,0,0,0,0,0,0,0,0,0
"OUTPUT",1331690.5,93585.4,156913.1,305903.8,201140.5,183698.9,98928.5,21716.9,1457526.8,1141165.4,206961.2,340743.6,497118.1,1226311.8,302924.6,452097.7,815829.6,913645.5,575355.8,543389.3,1147801.8,816774.6,1095158.1,871322.8,54380,121761,269313.8,822364.6,137093.7,2562136.4,1297552.2,659725.3,143438.1,84284.9,166397,49893.4,379027.6,63412.4,221143.2,231730.5,909009.4,699472.5,757663.9,311097.1,509453.4,357840.1,405133.9,61296.5,158852.8,0,0,0,0,0,0,0,0,0,0
